line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Houston"" title=""Houston"">Houston</a></th>",Houston,/wiki/Houston,29.76278,-95.38306,NA
"<th scope=""row""><a href=""/wiki/Douala"" title=""Douala"">Douala</a></th>",Douala,/wiki/Douala,4.05,9.683,Cameroon
"<th scope=""row""><a href=""/wiki/Medellin"" class=""mw-redirect"" title=""Medellin"">Medellin</a></th>",Medellin,/wiki/Medellin,6.23083,-75.59056, Colombia
"<th scope=""row""><a href=""/wiki/Yaound%C3%A9"" title=""Yaoundé"">Yaoundé</a></th>",Yaoundé,/wiki/Yaound%C3%A9,3.867,11.517,NA
"<th scope=""row""><a href=""/wiki/Nagpur"" title=""Nagpur"">Nagpur</a></th>",Nagpur,/wiki/Nagpur,21.15,79.09,India
"<th scope=""row""><a href=""/wiki/Cali"" title=""Cali"">Cali</a></th>",Cali,/wiki/Cali,3.42056,-76.52222,Colombia
"<th scope=""row""><a href=""/wiki/Tashkent"" title=""Tashkent"">Tashkent</a></th>",Tashkent,/wiki/Tashkent,41.267,69.217, Uzbekistan
"<th scope=""row""><a href=""/wiki/Nagoya"" title=""Nagoya"">Nagoya</a></th>",Nagoya,/wiki/Nagoya,35.183,136.9,NA
"<th scope=""row""><a href=""/wiki/Isfahan"" title=""Isfahan"">Isfahan</a></th>",Isfahan,/wiki/Isfahan,32.633,51.65,Iran
"<th scope=""row""><a href=""/wiki/Phnom_Penh"" title=""Phnom Penh"">Phnom Penh</a></th>",Phnom Penh,/wiki/Phnom_Penh,11.55,104.917,Cambodia
"<th scope=""row""><a href=""/wiki/Kochi"" title=""Kochi"">Kochi</a></th>",Kochi,/wiki/Kochi,9.97,76.28,India
"<th scope=""row""><a href=""/wiki/Paris"" title=""Paris"">Paris</a></th>",Paris,/wiki/Paris,48.8567,2.3508,France
"<th scope=""row""><a href=""/wiki/Ouagadougou"" title=""Ouagadougou"">Ouagadougou</a></th>",Ouagadougou,/wiki/Ouagadougou,12.35722,-1.53528,Burkina Faso
"<th scope=""row""><a href=""/wiki/Lanzhou"" title=""Lanzhou"">Lanzhou</a></th>",Lanzhou,/wiki/Lanzhou,36.033,103.8,China
"<th scope=""row""><a href=""/wiki/Kano"" title=""Kano"">Kano</a></th>",Kano,/wiki/Kano,12,8.517,Nigeria
"<th scope=""row""><a href=""/wiki/Dalian"" title=""Dalian"">Dalian</a></th>",Dalian,/wiki/Dalian,38.92083,121.63917,People's Republic of China
"<th scope=""row""><a href=""/wiki/Guatemala_City"" title=""Guatemala City"">Guatemala City</a></th>",Guatemala City,/wiki/Guatemala_City,14.61333,-90.53528,NA
"<th scope=""row""><a href=""/wiki/Havana"" title=""Havana"">Havana</a></th>",Havana,/wiki/Havana,23.133,-82.383,Cuba
"<th scope=""row""><a href=""/wiki/Medan"" title=""Medan"">Medan</a></th>",Medan,/wiki/Medan,3.583,98.667,NA
"<th scope=""row""><a href=""/wiki/Accra"" title=""Accra"">Accra</a></th>",Accra,/wiki/Accra,5.55,-0.2,NA
"<th scope=""row""><a href=""/wiki/Visakhapatnam"" title=""Visakhapatnam"">Visakhapatnam</a></th>",Visakhapatnam,/wiki/Visakhapatnam,17.70417,83.29778,India
"<th scope=""row""><a href=""/wiki/Jinan"" title=""Jinan"">Jinan</a></th>",Jinan,/wiki/Jinan,36.667,116.983,China
"<th scope=""row""><a href=""/wiki/Karaj"" title=""Karaj"">Karaj</a></th>",Karaj,/wiki/Karaj,35.83556,51.01028,NA
"<th scope=""row""><a href=""/wiki/Minsk"" title=""Minsk"">Minsk</a></th>",Minsk,/wiki/Minsk,53.9,27.567,NA
